SMILES,pCHEMBL,Molecular Weight,logP,pCHEMBL_norm
Nc1nc(OCCc2c[nH]c3ccccc23)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.35,426.43,0.12,0.47857142857142854
Nc1nc(OCCCCc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.29,415.45,0.42,0.3271428571428571
Nc1nc(OCCn2cnc3ccccc32)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.41,427.42,-0.55,0.20142857142857146
CCCN(CCCNC(=O)CCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2c1CC(=O)N2,6.96,765.92,4.03,0.4228571428571429
Nc1nc(Cc2ccccc2)nc2cn(-c3ccccc3)nc12,6.96,301.35,2.99,0.4228571428571429
CCSc1nc(N)nc(-c2ccccc2)n1,8.3,232.31,2.23,0.6142857142857144
N#Cc1c(-c2ccc(Cl)c(Cl)c2)cc(-c2cccnc2)nc1N,6.68,341.2,4.57,0.38285714285714284
N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccccc2)nc1N,6.7,305.77,4.52,0.38571428571428573
Cn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,6.85,442.36,3.93,0.4071428571428571
COc1ccccc1NC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.75,404.39,2.92,0.39285714285714285
COCCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)NCc3cccc(OC)c3)ccc21,7.34,497.56,4.14,0.47714285714285715
COCCCn1c(N)nc2cc(C(=O)NCc3cccc(OC)c3)ccc21,5.17,368.44,2.59,0.16714285714285712
COCCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)N3CCCCC3)cnc21,8.02,446.51,3.22,0.5742857142857142
N#Cc1cccc(C(=O)Nc2nc3cc(C(=O)N4CCCCC4)cnc3n2C2CCOCC2)c1,6.75,458.52,3.53,0.39285714285714285
CCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,7.4,467.29,4.16,0.48571428571428577
O=C(Cc1ccccc1)Nc1nc(NC2CCCCC2)nc2nc(-c3ccco3)nn12,7.63,417.47,3.71,0.5185714285714286
CNc1nc(NC2CCCCC2)n2nc(-c3ccco3)nc2n1,6.84,313.37,2.57,0.4057142857142857
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@H](Cc5c[nH]c6ccccc56)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,6.89,685.74,1.04,0.4128571428571428
CCCn1c(=O)c2nc([C@H]3CC[C@H](CO)CC3)[nH]c2n(CCC)c1=O,6.5,348.45,1.97,0.35714285714285715
Cc1cccc(-n2cc3c(n2)c(N)nc2ccccc23)c1,6.64,274.33,3.46,0.3771428571428571
CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,5.8,447.92,1.93,0.2571428571428571
Cc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@H]1S[C@H](C(=O)NCC2CC2)[C@@H](O)[C@H]1O,5.41,489.0,2.26,0.20142857142857146
Oc1cc(-c2ccccc2)nc2nc(NC3CCCCC3)ccc12,5.6,319.41,4.75,0.2285714285714285
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,4.68,296.41,3.61,0.0971428571428571
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,5.79,406.91,6.61,0.2557142857142857
Nc1nc(-c2ccco2)nc2sc(CN3CCC(F)(F)CC3)cc12,7.3,350.39,3.76,0.4714285714285714
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,5.47,281.27,-1.59,0.20999999999999996
Nc1nc(/N=N/NC(=O)NC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.6,435.45,-0.35,0.5142857142857142
COc1cccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)c1,6.54,377.34,4.92,0.3628571428571429
Fc1ccc(CNc2nc(-c3cccs3)cc(C(F)(F)F)n2)cc1,6.54,353.34,4.98,0.3628571428571429
c1cc(CN2CCCC2)cc(-c2n[nH]c(-c3ccc4c(c3)OCCO4)n2)c1,6.0,362.43,3.51,0.2857142857142857
Clc1ccc(Cc2n[nH]c(-c3ccc4c(c3)OCO4)n2)cc1Cl,7.0,348.19,4.1,0.42857142857142855
Nc1nc2c(ncn2CCN2CCN(c3nccs3)CC2)c2nc(-c3ccco3)nn12,8.77,436.51,1.59,0.6814285714285714
CCCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.96,230.27,2.21,0.27999999999999997
COc1ccc(CC(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,6.0,308.34,2.66,0.2857142857142857
Nc1nc2ccccc2c2cn(-c3ccccc3)nc12,6.48,260.3,3.16,0.35428571428571437
CCCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,5.91,436.86,4.44,0.27285714285714285
C[C@]1(O)C(n2cnc3c(N)nc(Cl)nc32)O[C@H](CO)[C@H]1O,5.88,315.72,-0.94,0.26857142857142857
CCCCc1nc2ccccc2c2nc(-c3ccc(O)cc3)nn12,5.28,318.38,3.99,0.18285714285714288
CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,5.98,418.42,3.41,0.2828571428571429
Cc1cccnc1CNC(=O)c1cc(-c2ccccc2C#N)nc(N)n1,6.91,344.38,2.23,0.41571428571428576
CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,5.0,696.9,3.46,0.14285714285714285
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,6.79,332.36,2.05,0.3985714285714286
CCn1nc(-c2cccc(-c3cccc(C(=O)NCCN4CCNCC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,8.05,635.56,4.58,0.5785714285714286
CCn1nc(-c2cccc(-c3cccc(O)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,6.78,496.35,5.65,0.3971428571428572
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1OC,7.7,419.45,2.97,0.5285714285714286
COc1cc(/C=N/N=C(\S)Cc2ccccc2)c(O)c(OC)c1,5.38,330.41,3.31,0.19714285714285712
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,6.3,486.53,3.26,0.32857142857142857
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CC[C@H](NC(=O)c4cccc(C(F)(F)F)c4)C3)sc12,7.09,548.59,5.23,0.4414285714285714
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NC(=O)c4cccc(C(F)(F)F)c4)CC3)sc12,6.33,562.61,5.62,0.33285714285714285
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CCN(C(=O)c4cccc(C(F)(F)F)c4)C3)sc12,6.15,534.56,4.8,0.3071428571428572
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCN(Cc4cccc(C(F)(F)F)c4)CC3)sc12,6.0,534.6,5.55,0.2857142857142857
CCCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,7.38,420.41,3.93,0.4828571428571428
Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,9.74,359.39,2.95,0.8200000000000001
CCCCn1c(=O)[nH]c(=O)c2[nH]cnc21,5.08,208.22,0.21,0.1542857142857143
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,6.7,512.96,5.66,0.38571428571428573
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.37,373.38,2.45,0.3385714285714286
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.05,303.39,3.38,0.43571428571428567
